,County,"1,1,2,2-Tetrachloroethane","1,3-Butadiene",Acetaldehyde,Acrolein,Acrylonitrile,Arsenic,Benzene,Beryllium,Cadmium,Chloroform,Chromium (VI),Chromium III,Ethylene Dichloride,Ethylene Oxide,Formaldehyde,Hexachlorobenzene,Lead,Manganese,Mercury,Nickel,PM2.5 Primary (Filt + Cond),Propylene Dichloride,Trichloroethylene,Vinyl Chloride,COPD deaths normalized,Old,M,Minority
20,Brazos,4.0743501925,687.2798742117002,13479.624957699963,493.96837167309525,3.760094118,2.491722260647059,3363.574084237676,3.146774236375,2.6119908913636363,19.839518255333335,0.012604208437500002,0.35858164433333334,22.083906,2.162541176,19139.69869623425,0.0,29.27537908,4.283210324,0.3970537881764706,2.6551305780555556,72177.54469697294,2.3630977205,2526.9743985,1.308376927,40.25548816488648,0.12795877838011915,0.5062396006655574,0.19067235610899397
21,Brewster,0.0007823530000000001,68.69606488726318,191514.95606651643,43.215160930055546,0.172564706,0.05972066614285714,274.5820239391613,0.10512896625714288,0.09335450075,1.2399795248,0.0003528513142857143,0.0005662474285714286,0.901221,0.099247059,261228.70474211738,0.01252228,4.913035122333333,0.12124310507142856,0.0448876145,0.07386007193333333,9200.87619829412,0.005141176,56.8479972,0.002999765,85.74490889603429,0.2959271168274384,0.5061093247588424,0.05294748124330118
22,Briscoe,0.000123529,35.49650339616666,18697.56323836629,71.33720663005883,0.027247059,0.02347150992307692,140.70765013814935,0.003904721806666667,0.003719322714285714,0.092306999,0.00023731088692307696,4.868131666666667e-05,0.0,0.015670588,25752.12136594982,0.014138058,0.008476367145454545,0.036174426384615384,0.006913706326666667,0.03810053242857142,21945.70215733333,0.000811765,4.54108701,0.00047364699999999995,92.2266139657444,0.31357048748353095,0.4980237154150198,0.052700922266139656
23,Brooks,7.829638132333333,153.18123402190474,28869.95650439915,231.15590637815004,0.136235294,0.10691753071428568,1431.857136019754,1.2484066666666666e-05,0.0100612855,2.230191283714286,0.000679067346153846,0.00010567278333333334,1.0057189999999998,0.078352941,42039.93636888232,0.019793281,2.6299635780000004,0.17206645742857138,0.016670411218750004,0.10517117713333334,16314.793789058824,4.198227384666667,33.578123875,2.3197595476666666,97.86103732699566,0.23738291625891234,0.5055221585348805,0.028100097861037326
24,Brown,1.896543191,320.70344557109524,22304.753194241428,405.22488852174996,0.6993411759999999,1.0061129648235292,1216.935614721572,1.6030245145714286,1.1314386483636363,2.337300010666667,0.0051597392687500005,0.1599102335555556,4.1580303333333335,0.402211765,28475.1195646638,0.005857195999999999,4.4348604432,1.672509262,0.10195779288235295,1.1289898564444443,33039.043587099986,1.013463724,622.7386349999999,0.5602670315,128.33377343543702,0.2605228412991814,0.4931344071824663,0.06353313968840771
25,Burleson,5.306129003,317.8662568132381,14731.18607365494,476.91095087885003,0.317882353,0.2800606662,1628.127721563515,0.41091667497142864,0.3635624926666667,12.181380806666667,0.0010027630357142857,0.0013940865714285715,2.539107133333333,0.18282352899999998,21156.41651597758,0.113710382,2.0088661558461536,0.43381037466666666,0.107566879,0.318688034625,44457.64549068571,2.977279233,261.07053179999997,1.646188659,125.63648439229577,0.2789462032322338,0.49402258135930927,0.14965685189284925
26,Burnet,0.0036647059999999998,615.5893019816842,29078.65488188458,458.31195287166673,0.8083294120000001,0.596342911,1976.3536251500307,0.5721020924285716,0.508246493625,3.43753673,0.0014994051928571427,0.002293909142857143,7.29872,0.46489411799999997,38923.04056643882,0.153902861,21.327524783076917,0.9616824262142856,0.155538609,0.5738939516666667,43915.6328964,0.024082352999999997,613.721261,0.014051528999999998,98.81253483088267,0.29420842800188624,0.4893899772795473,0.045398036609936986
27,Caldwell,9.212540125999999,370.5073105443182,15057.006628284682,545.4608561332856,0.726588235,0.5259078012666666,2230.874336889303,0.5632102585714286,0.44929162388888894,14.675216749142859,0.0015195473714285715,0.002196034571428571,4.550274,0.417882353,21111.11972076528,0.09735062900000001,30.06876169307693,0.8386642034000001,0.07434082958823529,0.5136212990625,37813.69259956758,5.196859412999999,456.9409306,2.875166492,80.14142604596347,0.19962286387743075,0.5032410135533294,0.09831467295226871
28,Calhoun,3.1346161869999998,1699.5480465599258,19797.30225214517,2751.6653085560006,7480.999874509666,0.7691431619999999,3659.0174825579743,0.008237545575000001,4.397872398083334,47.848478981111114,6.039559202422223,19.875469204527278,2767.163367972333,3602.0099451,30904.80762899789,0.038976691,3.945840047066667,1.228263596388889,34.064392936285714,10.276335514631578,100833.13646373333,0.945797063,484.5884266666667,5051.338078206667,93.2475884244373,0.23674781809830042,0.5128617363344051,0.09577400091869545
29,Callahan,1.8165979155000003,189.7543181059048,20816.79283814998,275.2273835738,0.245223529,0.1794481856,779.7307436671516,0.1505095666857143,0.120766926,1.0416935233333333,0.0008943363928571431,0.0005963057142857142,0.7333333333333334,0.141035294,28939.216378998583,0.051098982,0.5896478529230771,0.31250564546666665,0.04647182800000001,0.23747620937499994,29399.36254531429,0.957782607,146.57648,0.529246476,118.12714776632302,0.27677548682703323,0.4952749140893471,0.037872279495990833
